Interest,Percentage,Goal,Recommended_Course
ai,84,startup,AI Startup Accelerator
web,53,research,General Elective
ai,79,higher studies,PhD in AI
web,56,startup,Entrepreneurship + Web Development
iot,77,research,Embedded Systems
iot,65,research,Embedded Systems
ai,71,higher studies,PhD in AI
iot,60,job,IoT Developer
ai,80,higher studies,MTech in AI
web,93,higher studies,PhD in Web Science
ai,62,higher studies,PhD in AI
ai,73,higher studies,PhD in AI
web,74,research,General Elective
cyber,50,startup,Security Product Development
web,77,higher studies,MTech in Web Technologies
iot,58,higher studies,MTech in IoT
web,94,job,Full Stack Development
ai,94,job,AI Engineer
iot,79,research,Advanced IoT
iot,83,startup,IoT Startup Bootcamp
ai,85,research,Machine Learning
cyber,85,research,Cyber Security Advanced
web,53,higher studies,MTech in Web Technologies
cyber,87,research,Cyber Security Advanced
iot,95,research,Embedded Systems
ai,70,research,Deep Learning
iot,90,job,IoT Fundamentals
ai,70,startup,AI Product Development
cyber,57,startup,Cyber Security Consultancy
iot,94,startup,IoT Product Development
web,90,higher studies,PhD in Web Science
web,90,job,Frontend Development
cyber,65,research,Cyber Security Advanced
cyber,51,job,Network Security
iot,61,research,Embedded Systems
web,86,startup,Tech Startup Management
ai,70,research,Machine Learning
ai,65,higher studies,MTech in AI
iot,92,job,IoT Developer
cyber,78,research,Forensics
iot,56,higher studies,MTech in IoT
ai,64,higher studies,PhD in AI
cyber,84,higher studies,MTech in Cyber Security
ai,93,research,Machine Learning
ai,52,research,Deep Learning
cyber,70,startup,Cyber Security Consultancy
web,83,job,Frontend Development
web,71,startup,Tech Startup Management
ai,75,higher studies,PhD in AI
web,69,job,Frontend Development
web,90,job,Full Stack Development
web,52,startup,Entrepreneurship + Web Development
cyber,52,startup,Cyber Security Consultancy
iot,87,research,Advanced IoT
cyber,54,research,Forensics
ai,83,research,Machine Learning
iot,65,job,IoT Developer
ai,76,startup,AI Startup Accelerator
cyber,72,higher studies,PhD in Cyber Law
cyber,72,startup,Security Product Development
iot,80,research,Embedded Systems
cyber,68,research,Forensics
cyber,57,job,Network Security
ai,94,job,Data Science
web,75,startup,Entrepreneurship + Web Development
web,75,research,General Elective
web,65,higher studies,MTech in Web Technologies
web,85,job,Frontend Development
cyber,52,higher studies,PhD in Cyber Law
cyber,52,startup,Cyber Security Consultancy
ai,52,research,Deep Learning
iot,53,job,IoT Fundamentals
cyber,55,research,Cyber Security Advanced
iot,70,research,Advanced IoT
ai,60,startup,AI Product Development
iot,88,startup,IoT Startup Bootcamp
ai,70,startup,AI Startup Accelerator
cyber,93,startup,Security Product Development
ai,77,job,Data Science
ai,71,job,Data Science
cyber,52,research,Cyber Security Advanced
cyber,75,startup,Cyber Security Consultancy
cyber,88,job,Network Security
iot,57,research,Embedded Systems
iot,56,startup,IoT Startup Bootcamp
web,76,higher studies,MTech in Web Technologies
ai,73,job,Data Science
cyber,58,research,Forensics
iot,84,research,Embedded Systems
iot,83,research,Embedded Systems
cyber,71,startup,Cyber Security Consultancy
cyber,82,startup,Security Product Development
web,77,startup,Tech Startup Management
cyber,72,research,Forensics
ai,74,startup,AI Startup Accelerator
ai,76,startup,AI Product Development
iot,89,job,IoT Developer
cyber,93,startup,Security Product Development
iot,73,job,IoT Fundamentals
iot,92,research,Advanced IoT
iot,62,higher studies,PhD in IoT
web,73,startup,Entrepreneurship + Web Development
cyber,86,research,Forensics
ai,73,startup,AI Product Development
iot,95,higher studies,MTech in IoT
web,57,startup,Entrepreneurship + Web Development
cyber,55,research,Cyber Security Advanced
ai,59,higher studies,PhD in AI
cyber,95,research,Forensics
ai,72,job,AI Engineer
ai,75,job,AI Engineer
ai,58,research,Machine Learning
web,67,startup,Tech Startup Management
web,86,startup,Entrepreneurship + Web Development
ai,71,startup,AI Startup Accelerator
iot,93,higher studies,MTech in IoT
ai,79,research,Deep Learning
iot,57,job,IoT Developer
iot,51,job,IoT Developer
ai,77,higher studies,MTech in AI
cyber,82,job,Ethical Hacking
ai,61,higher studies,PhD in AI
iot,62,higher studies,MTech in IoT
iot,73,job,IoT Developer
iot,58,research,Embedded Systems
web,88,startup,Tech Startup Management
web,65,startup,Tech Startup Management
ai,79,higher studies,MTech in AI
iot,89,job,IoT Fundamentals
iot,61,research,Embedded Systems
